2021-08-07 14:15:54.570 | SUCCESS  | scripts.test_fileTask:test_file_add:33 - 查询终端ID:010102020301,010172021312,010172021315,010172021316,010172021319,010172021323,010172021320,010172021321,010172021317,010172021322,010172021318,112233440309,010172021301,112233440308,202107130306,202107290001,202107310226,202108050240,112233440306,202107300221,112233440368
2021-08-07 14:15:54.590 | SUCCESS  | scripts.test_fileTask:test_file_add:37 - 查询音频文件ID:850781720083828736,850781740975656960,850781769136214016,850781777927475200,856575702202191872,861999060532203520,862363015368806400
2021-08-07 14:15:54.604 | SUCCESS  | api.fileTaskApi:__init__:12 - ——————————————————————————> 初始化【文件广播】接口资源
2021-08-07 14:15:54.615 | SUCCESS  | api.fileTaskApi:file_add:15 - 添加文件广播任务
2021-08-07 14:15:54.875 | SUCCESS  | scripts.test_fileTask:test_file_add:42 - 响应内容:{"status":0,"msg":"成功"}
2021-08-07 14:15:54.884 | SUCCESS  | scripts.test_fileTask:test_file_add:43 - 响应状态码:200
2021-08-07 14:15:54.897 | SUCCESS  | scripts.test_fileTask:test_file_add:49 - 通过任务名称查询ID:['873570128325644288', '873570138282921984', '873570147992735744']
2021-08-07 14:15:54.921 | SUCCESS  | scripts.test_fileTask:test_file_add:27 - 获取参数：8,2,50,自动_4
2021-08-07 14:15:56.929 | SUCCESS  | scripts.test_fileTask:test_file_add:33 - 查询终端ID:010102020301,010172021312,010172021315,010172021316,010172021319,010172021323,010172021320,010172021321,010172021317,010172021322,010172021318,112233440309,010172021301,112233440308,202107130306,202107290001,202107310226,202108050240,112233440306,202107300221,112233440368
2021-08-07 14:15:56.937 | SUCCESS  | scripts.test_fileTask:test_file_add:37 - 查询音频文件ID:850781720083828736,850781740975656960,850781769136214016,850781777927475200,856575702202191872,861999060532203520,862363015368806400
2021-08-07 14:15:56.941 | SUCCESS  | api.fileTaskApi:__init__:12 - ——————————————————————————> 初始化【文件广播】接口资源
2021-08-07 14:15:56.946 | SUCCESS  | api.fileTaskApi:file_add:15 - 添加文件广播任务
2021-08-07 14:15:57.182 | SUCCESS  | scripts.test_fileTask:test_file_add:42 - 响应内容:{"status":0,"msg":"成功"}
2021-08-07 14:15:57.187 | SUCCESS  | scripts.test_fileTask:test_file_add:43 - 响应状态码:200
2021-08-07 14:15:57.192 | SUCCESS  | scripts.test_fileTask:test_file_add:49 - 通过任务名称查询ID:['873570128325644288', '873570138282921984', '873570147992735744', '873570157773852672']
2021-08-07 14:15:57.198 | SUCCESS  | api.fileTaskApi:__init__:12 - ——————————————————————————> 初始化【文件广播】接口资源
2021-08-07 14:15:57.202 | SUCCESS  | api.fileTaskApi:file_del:30 - 删除文件广播任务
2021-08-07 14:15:57.495 | SUCCESS  | scripts.test_fileTask:test_file_del:61 - 删除任务ID:873570128325644288,873570138282921984,873570147992735744,873570157773852672
2021-08-07 14:15:57.504 | SUCCESS  | scripts.test_fileTask:test_file_del:62 - 响应内容:{"status":0,"msg":"成功"}
2021-08-07 14:15:57.514 | SUCCESS  | scripts.test_fileTask:test_file_del:63 - 响应状态码:200
2021-08-07 14:23:15.999 | SUCCESS  | api.tokenApi:__init__:12 - ————————————————————> 初始化获取【登录】接口资源
2021-08-07 14:23:16.005 | SUCCESS  | api.tokenApi:getToken:15 - 用户登录获取token
2021-08-07 14:23:16.174 | SUCCESS  | scripts.test_fileTask:test_file_add:27 - 获取参数：5,0,50,自动_1
2021-08-07 14:23:18.182 | SUCCESS  | scripts.test_fileTask:test_file_add:33 - 查询终端ID:010102020301,010172021312,010172021315,010172021316,010172021319,010172021323,010172021320,010172021321,010172021317,010172021322,010172021318,112233440309,010172021301,112233440308,202107130306,202107290001,202107310226,202108050240,112233440306,202107300221,112233440368
2021-08-07 14:23:18.192 | SUCCESS  | scripts.test_fileTask:test_file_add:37 - 查询音频文件ID:850781720083828736,850781740975656960,850781769136214016,850781777927475200,856575702202191872,861999060532203520,862363015368806400
2021-08-07 14:23:18.198 | SUCCESS  | api.fileTaskApi:__init__:12 - ——————————————————————————> 初始化【文件广播】接口资源
2021-08-07 14:23:18.205 | SUCCESS  | api.fileTaskApi:file_add:15 - 添加文件广播任务
2021-08-07 14:23:18.452 | SUCCESS  | scripts.test_fileTask:test_file_add:42 - 响应内容:{"status":0,"msg":"成功"}
